Question,Rafi's Qs,,,ChatGPT improvement (dumped all Qs at one time),,,,,,,,,,,,
46,"Does the patient have or need a Dialysis Catheter? If yes, respond ""Dialysis Catheter: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Dialysis Catheter: No"". ",,,45. Confirm if a Dialysis Catheter is required. Respond 'Dialysis Catheter: Yes/No'. Page reference if available.,,,,,,,,,,,,
47,"Does the patient use or need bilevel positive airway pressure (BiPAP, Bi PAP, or Bi-PAP) or continuous positive airway pressure (CPAP or C-PAP)? If yes, respond ""BiPAP/CPAP: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""BiPAP/CPAP: No"".",,,46. Inquire about CPAP (continuous positive airway pressure) usage. Respond 'CPAP: Yes/No'. Page reference if available.,,,,,,,,,,,,
48,"Does the patient have a Tracheostomy?  If so, is it new or recent, is it old or from past medical history, or does it not indicate timing? If yes, respond ""Tracheostomy: Yes"" followed by "", New"", "", Old"", or "", Unknown"" accordingly.  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If there is no Tracheostomy, respond concisely ""Tracheostomy: No"".",,,"48. Assess if patient has a Tracheostomy and its recency. Respond 'Tracheostomy: Yes, [New/Old/Unknown]' or 'Tracheostomy: No'. Page reference if available.",,,,,,,,,,,,
49,"Does the patient use or need Oxygen (Compressed gas system, Portable oxygen concentrator (POC), or Liquid oxygen system)? If yes, what is the maximum amount (in Liters)? If yes, respond ""Oxygen: "", followed by the maximum number of liters, for example ""Oxygen: 10 LPM"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Oxygen: No"". ",,,49. Confirm Oxygen requirement and maximum liters if applicable. Respond 'Oxygen: [Liters]' or 'Oxygen: No'. Page reference if available.,,,,,,,,,,,,
50,"Does the patient use or need a portable or Astral vent? If yes, respond ""Portable/Astral vent: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Portable/Astral vent: No"". ",,,50. Check for need of a portable or Astral vent. Respond 'Portable vent: Yes/No'. Page reference if available.,,,,,,,,,,,,
51,"Does the patient have a Chest Tube? If yes, respond ""Chest tube: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Chest tube: No"". ",,,51. Inquire about Chest Tube presence. Respond 'Chest tube: Yes/No'. Page reference if available.,,,,,,,,,,,,
52,"Does the patient have a Pleurex or PleurX? If yes, respond ""Pleurex: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Pleurex: No"".",,,52. Verify if patient has a Pleurex or PleurX. Respond 'Pleurex: Yes/No'. Page reference if available.,,,,,,,,,,,,
53,"Does the patient need Surgical Orthopedic care? If yes, respond ""Surgical Orthopedic care: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Surgical Orthopedic care: No"".",,,53. Assess need for Surgical Orthopedic care. Respond 'Surgical Orthopedic care: Yes/No'. Page reference if available.,,,,,,,,,,,,
54,"Does the patient need external fixator? If yes, respond ""External fixator: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""External fixator: No"".",,,54. Check for the necessity of an external fixator. Respond 'External fixator: Yes/No'. Page reference if available.,,,,,,,,,,,,
55,"Does the patient need Orthopedic Traction? If yes, respond ""Orthopedic Traction: Yes"".Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Orthopedic Traction: No"". ",,,55. Confirm if Orthopedic Traction is required. Respond 'Orthopedic Traction: Yes/No'. Page reference if available.,,,,,,,,,,,,
56,"Does the patient have or need a Prosthetics? If yes, respond ""Prosthetics: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely "": No"". ",,,56. Inquire about the presence or need of Prosthetics. Respond 'Prosthetics: Yes/No'. Page reference if available.,,,,,,,,,,,,
57,"Does the patient have a Coronary artery bypass graft (CABG)? If yes, respond ""CABG: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""CABG: No"". ",,,57. Check for CABG (Coronary artery bypass graft) history. Respond 'CABG: Yes/No'. Page reference if available.,,,,,,,,,,,,
58,"Does the patient have a Left Ventricular Assist Device (LVAD)? If yes, respond ""LVAD: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""LVAD: No"". ",,,58. Verify if patient has an LVAD (Left Ventricular Assist Device). Respond 'LVAD: Yes/No'. Page reference if available.,,,,,,,,,,,,
59,"Does the patient have a LifeVest Wearable Defibrillator or LifeVest? If yes, respond ""LifeVest: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""LifeVest: No"". ",,,59. Confirm use of a LifeVest Wearable Defibrillator. Respond 'LifeVest: Yes/No'. Page reference if available.,,,,,,,,,,,,
60,"Does the patient have a Pacemaker? If so, is it new or recent, is it old or from past medical history, or does it not indicate timing? If yes, respond ""Pacemaker: Yes"", followed by "", New"", "", Old"", or "", Unknown"" accordingly. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Pacemaker: No"". ",,,"60. Assess if patient has a Pacemaker and its recency. Respond 'Pacemaker: Yes, [New/Old/Unknown]' or 'Pacemaker: No'. Page reference if available.",,,,,,,,,,,,
61,"Does the patient need Hemodialysis (HD)? If yes, respond ""Hemodialysis: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Hemodialysis: No"".",,,61. Check for Hemodialysis (HD) requirement. Respond 'Hemodialysis: Yes/No'. Page reference if available.,,,,,,,,,,,,
62,"Does the patient need Peritoneal dialysis (PD)? If yes, respond ""Peritoneal dialysis: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Peritoneal dialysis: No"". ",,,62. Inquire about Peritoneal dialysis (PD) need. Respond 'Peritoneal dialysis: Yes/No'. Page reference if available.,,,,,,,,,,,,
63,"Does the patient have bariatric issues or weigh more than 400 lbs.? If yes, respond ""Bariatric: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Bariatric: No"".",,,63. Assess for bariatric issues or weight over 400 lbs. Respond 'Bariatric: Yes/No'. Page reference if available.,,,,,,,,,,,,
64,"Does the patient need Intravenous Fluids or an IV? If yes, respond ""IV: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""IV: No"". ",,,64. Confirm necessity of Intravenous Fluids or an IV. Respond 'IV: Yes/No'. Page reference if available.,,,,,,,,,,,,
65,"Does the patient need Total parenteral nutrition (TPN)? If yes, respond ""TPN: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""TPN: No"".",,,65. Check for Total parenteral nutrition (TPN) requirement. Respond 'TPN: Yes/No'. Page reference if available.,,,,,,,,,,,,
66,"Does the patient need Patient controlled analgesia (PCA)? If yes, respond ""PCA: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""PCA: No"".",,,66. Verify need for Patient controlled analgesia (PCA). Respond 'PCA: Yes/No'. Page reference if available.,,,,,,,,,,,,
67,"Does the patient need Intravenous push (IV push)? If yes, respond ""IV Push: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""IV Push: No"".",,,67. Assess necessity of Intravenous push (IV push). Respond 'IV Push: Yes/No'. Page reference if available.,,,,,,,,,,,,
68,"Does the patient need Oral Chemotherapy? If yes, respond ""Oral Chemotherapy: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Oral Chemotherapy: No"". ",,,68. Check for Oral Chemotherapy usage. Respond 'Oral Chemotherapy: Yes/No'. Page reference if available.,,,,,,,,,,,,
69,"Does the patient need Intravenous Chemo or Chemo infusion? If yes, respond ""IV Chemo: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""IV Chemo: No"". ",,,69. Confirm need for Intravenous Chemo or Chemo infusion. Respond 'IV Chemo: Yes/No'. Page reference if available.,,,,,,,,,,,,
70,"Does the patient need High-Cost Medications? If yes, respond ""High-Cost Rx: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""High-Cost Rx: No"".",,,70. Inquire about requirement of High Cost Medications. Respond 'High Cost Rx: Yes/No'. Page reference if available.,,,,,,,,,,,,
71,"Does the patient need serious Psychosocial Care? If yes, respond ""Psychosocial Care: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Psychosocial Care: No"". ",,,71. Assess need for serious Psychosocial Care. Respond 'Psychosocial Care: Yes/No'. Page reference if available.,,,,,,,,,,,,
72,"Does the patient have Dementia or been diagnosed with an ICD10 indicating Dementia? If yes, respond ""Dementia: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Dementia: No"". ",,,72. Check for Dementia diagnosis or relevant ICD10 code. Respond 'Dementia: Yes/No'. Page reference if available.,,,,,,,,,,,,
73,"Is the patient a known danger to self or likely to harm themselves? If yes, respond ""Danger self: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Danger self: No"". ",,,73. Confirm recent danger to self or others. Respond 'Recent danger: Yes/No'. Page reference if available.,,,,,,,,,,,,
74,"Is the patient a known danger to others or expected to harm others? If yes, respond ""Danger to others: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Danger to others: No"". ",,,,,,,,,,,,,,,
75,"Does the patient need Restraints? If yes, respond ""Restraints: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Restraints: No"". ",,,74. Inquire about the necessity of Restraints. Respond 'Restraints: Yes/No'. Page reference if available.,,,,,,,,,,,,
76,"Does the patient need a Closed Unit to help ensure safety or specialized care for any of the following: 1. Dementia or Alzheimer's Disease, 2. Psychiatric conditions or cognitive impairments that exhibit aggressive, disruptive, or unsafe behaviors,3. Contagious diseases, 4. Patient is at high risk for infections? If yes, respond ""Closed Unit: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Closed Unit: No"". ",,,75. Check if patient requires a Closed Unit. Respond 'Closed Unit: Yes/No'. Page reference if available.,,,,,,,,,,,,
77,"Is the patient a known felon, or has been convicted or sentenced to spend time in jail? If yes, respond ""Felon: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Felon: No"".",,,76. Verify if patient is a known felon. Respond 'Felon: Yes/No'. Page reference if available.,,,,,,,,,,,,
78,"Is the patient a Known Sexual Offender? If yes, respond ""Sexual Offender: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Sexual Offender: No"".",,,77. Confirm if patient is a Known Sexual Offender. Respond 'Sexual Offender: Yes/No'. Page reference if available.,,,,,,,,,,,,
79,"Does the patient currently suffer from ETOH or Alcohol abuse, excluding drug abuse? If yes, respond ""Etoh/Alcohol-current: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Etoh/Alcohol-current: No"". ",,,78. Assess current ETOH or Alcohol abuse. Respond 'Etoh/Alcohol-current: Yes/No'. Page reference if available.,,,,,,,,,,,,
80,"Does the patient have a history of ETOH or Alcohol abuse, excluding drug abuse? If yes, respond ""Etoh/Alcohol-history: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Etoh/Alcohol-history: No"". ",,,79. Check for history of ETOH or Alcohol abuse. Respond 'Etoh/Alcohol-history: Yes/No'. Page reference if available.,,,,,,,,,,,,
81,"Does the patient currently suffer from drug abuse, excluding alcohol abuse? If yes, respond ""Drugs-current: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Drugs-current: No"". ",,,"80. Inquire about current drug abuse, excluding alcohol. Respond 'Drugs-current: Yes/No'. Page reference if available.",,,,,,,,,,,,
82,"Does the patient have a history of drug abuse, excluding alcohol abuse? If yes, respond ""Drugs-history: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Drugs-history: No"".",,,"81. Verify history of drug abuse, excluding alcohol. Respond 'Drugs-history: Yes/No'. Page reference if available.",,,,,,,,,,,,
83,"Does the patient have a Head Injury? If yes, respond ""Head Injury: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Head Injury: No"".",,,82. Check for Head Injury presence. Respond 'Head Injury: Yes/No'. Page reference if available.,,,,,,,,,,,,
84,"Is the patient less than 18 years old? If yes, respond ""Less<18 yrs: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Less<18 yrs: No"".",,,83. Confirm if patient is less than 18 years old. Respond 'Less than 18 yrs: Yes/No'. Page reference if available.,,,,,,,,,,,,
85,"Who is responsible for the patient's medical costs? Medicare, Medicaid, or Commercial insurance (for example Blue Cross Blue Shield (BCBS), United Health Care (UHC), Aetna, Cigna, Humana, Health Care Services Corporation (HCSC), Centene, Kaiser Permanente, Molina Healthcare, Health Alliance, Anthem)? Respond with 'Medicare/Medicaid/[Commercial insurance name]/NA'. Omit any summary statements before or after the response.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
