Question,Keywords,Page Numbers
"Does the patient have or need a Prosthetics? If yes, respond ""Prosthetics: Yes"". If not, respond concisely "": No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","prosthetics, yes, respond, need, concisely, indicating, source, example, pages, omit","11, 17, 19, 6, 21, 9, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Does the patient have a Coronary artery bypass graft (CABG)? If yes, respond ""CABG: Yes"". If not, respond concisely ""CABG: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","cabg, yes, respond, coronary, artery, bypass, graft, concisely, indicating, source","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have a Left Ventricular Assist Device (LVAD)? If yes, respond ""LVAD: Yes"". If not, respond concisely ""LVAD: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","lvad, yes, respond, left, ventricular, assist, device, concisely, indicating, source","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23, 15"
"Does the patient have a LifeVest Wearable Defibrillator or LifeVest? If yes, respond ""LifeVest: Yes"". If not, respond concisely ""LifeVest: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","lifevest, yes, respond, wearable, defibrillator, concisely, indicating, source, example, pages","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have a Pacemaker? If so, is it new or recent, is it old or from past medical history, or does it not indicate timing? If yes, respond ""Pacemaker: Yes"", followed by "", New"", "", Old"", or "", Unknown"" accordingly. If not, respond concisely ""Pacemaker: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","pacemaker, new, old, yes, respond, recent, past, medical, history, indicate","22, 4, 5, 25, 13, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 3, 10, 7"
"Does the patient need Hemodialysis (HD)? If yes, respond ""Hemodialysis: Yes"". If not, respond concisely ""Hemodialysis: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","hemodialysis, yes, respond, need, hd, concisely, indicating, source, example, pages","22, 4, 25, 13, 6, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 10, 3, 7"
"Does the patient need Peritoneal dialysis (PD)? If yes, respond ""Peritoneal dialysis: Yes"". If not, respond concisely ""Peritoneal dialysis: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","peritoneal, dialysis, yes, respond, need, pd, concisely, indicating, source, example","11, 17, 19, 6, 21, 9, 10, 22, 24, 4, 7, 25, 12, 27, 23"
"Does the patient have bariatric issues or weight more than 400 lbs? If yes, respond ""Bariatric: Yes"". If not, respond concisely ""Bariatric: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","bariatric, yes, respond, issues, weight, lbs, concisely, indicating, source, example","11, 17, 19, 28, 6, 21, 9, 10, 22, 3, 24, 7, 25, 12, 27, 23"
"Does the patient need Intravenous Fluids or an IV? If yes, respond ""IV: Yes"". If not, respond concisely ""IV: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","iv, yes, respond, need, intravenous, fluids, concisely, indicating, source, example","22, 25, 13, 6, 28, 21, 1, 24, 16, 2, 27, 23, 11, 17, 18, 19, 12, 9, 26, 3, 10, 7"
"Does the patient need Total parenteral nutrition (TPN)? If yes, respond ""TPN: Yes"". If not, respond concisely ""TPN: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","tpn, yes, respond, need, total, parenteral, nutrition, concisely, indicating, source","22, 25, 6, 21, 24, 16, 2, 27, 23, 11, 17, 18, 19, 12, 9, 26, 10, 3, 7"
"Does the patient need Patient controlled analgesia (PCA)? If yes, respond ""PCA: Yes"". If not, respond concisely ""PCA: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","pca, yes, respond, need, controlled, analgesia, concisely, indicating, source, example","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient need Intravenous push (IV push)? If yes, respond ""IV Push: Yes"". If not, respond concisely ""IV Push: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","push, iv, yes, respond, need, intravenous, concisely, indicating, source, example","22, 25, 13, 6, 28, 21, 1, 24, 16, 2, 27, 23, 11, 17, 18, 19, 12, 9, 26, 3, 10, 7"
"Does the patient need Oral Chemotherapy? If yes, respond ""Oral Chemotherapy: Yes"". If not, respond concisely ""Oral Chemotherapy: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","oral, chemotherapy, yes, respond, need, concisely, indicating, source, example, pages","22, 4, 5, 25, 13, 6, 28, 21, 24, 16, 2, 27, 23, 11, 17, 8, 19, 12, 9, 26, 3, 10, 7"
"Does the patient need Intravenous Chemo or Chemo infusion? If yes, respond ""IV Chemo: Yes"". If not, respond concisely ""IV Chemo: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","chemo, yes, respond, iv, need, intravenous, infusion, concisely, indicating, source","22, 25, 13, 6, 28, 21, 1, 24, 16, 2, 27, 23, 11, 17, 18, 19, 12, 9, 26, 10, 3, 7"
"Does the patient need High Cost Medications? If yes, respond ""High Cost Rx: Yes"". If not, respond concisely ""High Cost Rx: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","high, cost, yes, respond, rx, need, medications, concisely, indicating, source","11, 17, 19, 28, 6, 21, 9, 18, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Does the patient need serious Psychosocial Care? If yes, respond ""Psychosocial Care: Yes"". If not, respond concisely ""Psychosocial Care: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","psychosocial, care, yes, respond, need, serious, concisely, indicating, source, example","11, 17, 19, 28, 6, 21, 9, 18, 1, 10, 22, 24, 7, 25, 12, 27, 14, 23"
"Does the patient have Dementia or been diagnosed with an ICD10 indicating Dementia? If yes, respond ""Dementia: Yes"". If not, respond concisely ""Dementia: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","dementia, indicating, yes, respond, diagnosed, concisely, source, example, pages, omit","11, 17, 19, 6, 21, 9, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Is the patient a known danger to self or likely to harm themselves? If yes, respond ""Danger self: Yes"". If not, respond concisely ""Danger self: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","danger, self, yes, respond, known, likely, harm, concisely, indicating, source","11, 17, 6, 28, 19, 21, 9, 18, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Is the patient a known danger to others or expected to harm others? If yes, respond ""Danger to others: Yes"". If not, respond concisely ""Danger to others: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","others, danger, yes, respond, known, expected, harm, concisely, indicating, source","11, 17, 19, 6, 28, 21, 9, 18, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Does the patient need Restraints? If yes, respond ""Restraints: Yes"". If not, respond concisely ""Restraints: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","restraints, yes, respond, need, concisely, indicating, source, example, pages, omit","11, 17, 19, 6, 21, 9, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Does the patient need a Closed Unit to help ensure safety or specialized care for any of the following: 1. Dementia or Alzheimer's Disease, 2. Psychiatric conditions or cognitive impairments that  exhibit aggressive, disruptive, or unsafe behaviors,3. Contagious diseases, 4. Patient is at high risk for infections? If yes, respond ""Closed Unit: Yes"". If not, respond concisely ""Closed Unit: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","closed, unit, yes, respond, need, help, ensure, safety, specialized, care","22, 25, 14, 28, 21, 1, 24, 16, 27, 23, 11, 17, 18, 19, 12, 9, 26, 10, 7"
"Is the patient a known felon, or been convicted or sentenced to spend time in jail? If yes, respond ""Felon: Yes"". If not, respond concisely ""Felon: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","felon, yes, respond, known, convicted, sentenced, spend, time, jail, concisely","22, 4, 25, 13, 6, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 10, 3, 7"
"Is the patient a Known Sexual Offender? If yes, respond ""Sexual Offender: Yes"". If not, respond concisely ""Sexual Offender: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","sexual, offender, yes, respond, known, concisely, indicating, source, example, pages","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient currently suffer from ETOH or Alcohol abuse, excluding drug abuse? If yes, respond ""Etoh/Alcohol-current: Yes"". If not, respond concisely ""Etoh/Alcohol-current: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","abuse, yes, respond, currently, suffer, etoh, alcohol, excluding, drug, concisely","22, 25, 28, 21, 24, 16, 2, 27, 23, 15, 11, 17, 18, 12, 19, 9, 26, 10, 7"
"Does the patient have a history of ETOH or Alcohol abuse, excluding drug abuse? If yes, respond ""Etoh/Alcohol-history: Yes"". If not, respond concisely ""Etoh/Alcohol-history: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","abuse, yes, respond, history, etoh, alcohol, excluding, drug, concisely, indicating","22, 25, 13, 28, 21, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 12, 19, 9, 26, 10, 7"
"Does the patient currently suffer from drug abuse, excluding alcohol abuse? If yes, respond ""Drugs-current: Yes"". If not, respond concisely ""Drugs-current: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","abuse, yes, respond, currently, suffer, drug, excluding, alcohol, concisely, indicating","22, 25, 28, 21, 24, 16, 2, 27, 23, 15, 11, 17, 18, 12, 19, 9, 26, 10, 7"
"Does the patient have a history of drug abuse, excluding alcohol abuse? If yes, respond ""Drugs-history: Yes"". If not, respond concisely ""Drugs-history: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","abuse, yes, respond, history, drug, excluding, alcohol, concisely, indicating, source","22, 25, 13, 6, 28, 21, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 12, 19, 9, 26, 10, 7"
"Does the patient have a Head Injury? If yes, respond ""Head Injury: Yes"". If not, respond concisely ""Head Injury: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","head, injury, yes, respond, concisely, indicating, source, example, pages, omit","11, 17, 19, 6, 21, 9, 26, 13, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Is the patient less than 18 years old? If yes, respond ""Less<18 yrs: Yes"". If not, respond concisely ""Less<18 yrs: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","less, yes, respond, yrs, years, old, concisely, indicating, source, example","22, 4, 25, 5, 13, 6, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 10, 3, 7"
"Who is responsible for the patient's medical costs? Medicare, Medicaid, or Commercial insurance (for example Blue Cross Blue Shield (BCBS), United Health Care (UHC), Aetna, Cigna, Humana, Health Care Services Corporation (HCSC), Centene, Kaiser Permanente, Molina Healthcare, Health Alliance, Anthem)? Respond with 'Medicare/Medicaid/[Commercial insurance name]/NA'. Omit any summary statements before or after the response.","health, commercial, insurance, blue, care, responsible, medical, costs, medicare, medicaid","5, 13, 14, 6, 28, 1, 24, 16, 27, 23, 15, 11, 17, 8, 18, 12, 19, 9, 10, 7"
